epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.66172,2.6279,3.80022,2.26915,0.43776,0.10792,0.06454,0.03006,2.5257,3.31764,2.47901,0.00015,0.00015,0.00015
2,16.4037,2.2772,2.34783,2.01442,0.41502,0.24876,0.12563,0.04592,2.41661,4.01786,2.42189,0.000310025,0.000310025,0.000310025
3,23.0924,2.15078,2.05346,1.92305,0.14519,0.21378,0.09489,0.02995,2.55181,3.64392,2.554,0.000467476,0.000467476,0.000467476
4,28.8311,2.1202,1.91818,1.9053,0.09755,0.2162,0.10797,0.03679,2.63863,9.86024,2.56919,0.000622353,0.000622353,0.000622353
5,35.2506,2.07116,1.86186,1.86315,0.19249,0.18008,0.10878,0.04145,2.50445,3.70031,2.52428,0.000774656,0.000774656,0.000774656
6,41.0058,2.01172,1.75052,1.84406,0.23034,0.1499,0.15847,0.05095,2.71931,4.50685,2.73317,0.000924385,0.000924385,0.000924385
7,47.5522,1.98665,1.67876,1.82215,0.18349,0.33886,0.15819,0.06188,2.68199,3.48989,2.71614,0.00107154,0.00107154,0.00107154
8,53.3295,1.9699,1.57737,1.78823,0.10039,0.27919,0.10215,0.03519,2.98152,6.69165,3.10881,0.0011807,0.0011807,0.0011807
9,59.675,1.94009,1.51053,1.76686,0.13749,0.24389,0.13357,0.04464,2.71512,2.67654,2.77295,0.0011708,0.0011708,0.0011708
10,65.4288,1.95094,1.54539,1.74996,0.1292,0.1573,0.08943,0.03386,2.89099,4.11334,2.86345,0.0011609,0.0011609,0.0011609
11,71.8671,1.88597,1.4857,1.76442,0.23068,0.20766,0.16356,0.05802,2.65857,2.69398,2.58326,0.001151,0.001151,0.001151
12,77.6458,1.85761,1.38665,1.74478,0.48394,0.23978,0.26551,0.07439,2.77831,2.51986,2.73938,0.0011411,0.0011411,0.0011411
13,84.0971,1.76499,1.3233,1.66999,0.1926,0.16404,0.11994,0.04113,2.83752,2.7395,2.84441,0.0011312,0.0011312,0.0011312
14,89.8916,1.79093,1.30142,1.68199,0.2402,0.33394,0.20263,0.06811,2.76481,2.89072,2.85063,0.0011213,0.0011213,0.0011213
15,96.381,1.75452,1.26489,1.62921,0.3903,0.22768,0.21011,0.07865,2.66337,2.72006,2.74373,0.0011114,0.0011114,0.0011114
16,102.278,1.75694,1.23992,1.67378,0.16472,0.30112,0.16865,0.05398,2.70779,2.47301,2.74902,0.0011015,0.0011015,0.0011015
17,108.863,1.67779,1.17192,1.59072,0.19732,0.20498,0.13057,0.05771,2.70566,3.13145,2.83835,0.0010916,0.0010916,0.0010916
18,114.692,1.65594,1.16774,1.61799,0.26172,0.27638,0.22514,0.07216,2.75569,2.14771,2.78059,0.0010817,0.0010817,0.0010817
19,121.095,1.69805,1.13622,1.58321,0.36393,0.21314,0.2183,0.06221,2.92734,2.49227,2.93365,0.0010718,0.0010718,0.0010718
20,127.118,1.6087,1.07683,1.55924,0.27108,0.19299,0.16106,0.05636,2.78996,2.73097,2.86372,0.0010619,0.0010619,0.0010619
21,133.43,1.61394,1.03326,1.53712,0.30234,0.28609,0.23158,0.0802,2.82893,2.60913,2.82698,0.001052,0.001052,0.001052
22,139.709,1.59773,1.02616,1.51075,0.18698,0.28092,0.14756,0.05037,2.74631,2.82668,2.71899,0.0010421,0.0010421,0.0010421
23,146.082,1.51843,0.95214,1.46872,0.3025,0.25032,0.22636,0.07259,2.65492,2.59745,2.60079,0.0010322,0.0010322,0.0010322
24,152.132,1.49025,0.90634,1.44944,0.16341,0.37653,0.16688,0.06093,2.76857,2.41021,2.90494,0.0010223,0.0010223,0.0010223
25,158.465,1.48255,0.91944,1.46955,0.30114,0.25646,0.21037,0.07154,2.83232,2.36202,2.96914,0.0010124,0.0010124,0.0010124
26,164.425,1.44913,0.89811,1.45167,0.16635,0.3099,0.1617,0.05107,2.84402,2.30328,2.97424,0.0010025,0.0010025,0.0010025
27,170.884,1.47183,0.88675,1.43638,0.31263,0.25145,0.21032,0.0661,2.70337,2.34773,2.76696,0.0009926,0.0009926,0.0009926
28,177.015,1.46064,0.87336,1.44449,0.235,0.20481,0.14969,0.05105,2.6492,2.68638,2.72564,0.0009827,0.0009827,0.0009827
29,183.466,1.44546,0.87075,1.43473,0.22492,0.30528,0.16451,0.06436,2.77954,2.40908,2.86568,0.0009728,0.0009728,0.0009728
30,189.486,1.3769,0.82728,1.39292,0.33678,0.20781,0.171,0.05434,2.92891,2.3515,3.09379,0.0009629,0.0009629,0.0009629
31,195.92,1.38057,0.81885,1.39196,0.15144,0.28257,0.16174,0.0562,2.89716,2.5354,2.98435,0.000953,0.000953,0.000953
32,202.089,1.33536,0.76639,1.36478,0.15977,0.19957,0.14735,0.05919,2.88282,2.50045,2.90083,0.0009431,0.0009431,0.0009431
33,208.557,1.37804,0.76362,1.3716,0.24525,0.25596,0.19178,0.06567,2.88634,2.46591,3.00358,0.0009332,0.0009332,0.0009332
34,214.522,1.29123,0.73791,1.32075,0.16095,0.24687,0.15611,0.06343,2.99364,2.4756,3.08948,0.0009233,0.0009233,0.0009233
35,220.92,1.29284,0.743,1.31514,0.28581,0.19299,0.14876,0.06737,3.03362,2.92551,3.14981,0.0009134,0.0009134,0.0009134
36,226.965,1.24053,0.71064,1.30448,0.24666,0.16461,0.1527,0.08021,2.92485,2.48777,3.12781,0.0009035,0.0009035,0.0009035
37,233.34,1.30869,0.74264,1.34584,0.2514,0.17711,0.14476,0.04572,2.87938,2.6357,2.95286,0.0008936,0.0008936,0.0008936
38,239.327,1.31322,0.71533,1.31948,0.17817,0.30047,0.15805,0.06106,2.81776,2.62525,2.95527,0.0008837,0.0008837,0.0008837
39,245.674,1.24615,0.71144,1.32284,0.23062,0.18446,0.16946,0.05751,2.91487,2.54345,3.01358,0.0008738,0.0008738,0.0008738
40,251.833,1.17617,0.67065,1.27355,0.33321,0.26676,0.20955,0.07977,2.80864,2.37875,2.94503,0.0008639,0.0008639,0.0008639
41,258.049,1.23425,0.69176,1.3136,0.35057,0.27892,0.21179,0.07132,2.8221,2.30128,3.0785,0.000854,0.000854,0.000854
42,264.305,1.22539,0.6754,1.30906,0.22216,0.35271,0.22744,0.07351,2.724,2.40653,2.88149,0.0008441,0.0008441,0.0008441
43,270.631,1.17813,0.63644,1.23025,0.45408,0.18733,0.19844,0.06952,2.70973,2.33946,2.81211,0.0008342,0.0008342,0.0008342
44,276.814,1.16762,0.65347,1.26146,0.18181,0.28775,0.17596,0.07434,2.85558,2.47634,2.97221,0.0008243,0.0008243,0.0008243
45,282.931,1.1317,0.62374,1.22546,0.17054,0.24921,0.13075,0.04422,2.94412,2.77395,3.08987,0.0008144,0.0008144,0.0008144
46,289.213,1.13679,0.62927,1.24316,0.20638,0.24522,0.16434,0.05933,2.87377,2.69267,3.07521,0.0008045,0.0008045,0.0008045
47,295.426,1.10509,0.61132,1.20719,0.17304,0.2773,0.14357,0.05819,2.96931,2.79694,3.30097,0.0007946,0.0007946,0.0007946
48,301.655,1.10749,0.60526,1.21067,0.19291,0.20159,0.15922,0.06218,2.92786,2.66994,3.18285,0.0007847,0.0007847,0.0007847
49,307.85,1.15235,0.62862,1.22669,0.25174,0.21229,0.16065,0.06497,2.85968,2.68932,3.07323,0.0007748,0.0007748,0.0007748
50,314.936,1.11369,0.61156,1.20998,0.23873,0.16237,0.15044,0.05929,2.90859,2.70692,3.21649,0.0007649,0.0007649,0.0007649
51,321.385,1.08889,0.59578,1.21385,0.18992,0.20756,0.15449,0.05661,2.89522,2.61107,3.13872,0.000755,0.000755,0.000755
52,327.245,1.10241,0.59306,1.20643,0.29717,0.2214,0.17711,0.06825,2.86709,2.40568,3.13142,0.0007451,0.0007451,0.0007451
53,333.635,1.09725,0.58989,1.21473,0.2572,0.22414,0.17679,0.07462,2.85935,2.67142,3.14756,0.0007352,0.0007352,0.0007352
54,339.615,1.0814,0.58078,1.18776,0.19641,0.24819,0.15385,0.05353,2.87845,2.67679,3.04133,0.0007253,0.0007253,0.0007253
55,345.985,1.05105,0.55864,1.18598,0.27536,0.1374,0.13202,0.05264,2.88468,2.54732,3.03968,0.0007154,0.0007154,0.0007154
56,352.018,1.0786,0.57042,1.17755,0.28776,0.20883,0.17653,0.0563,2.94585,2.49857,3.18443,0.0007055,0.0007055,0.0007055
57,358.386,1.00884,0.5467,1.14349,0.21761,0.15268,0.15743,0.05815,2.8662,2.82744,2.98587,0.0006956,0.0006956,0.0006956
58,364.493,1.01037,0.54483,1.15842,0.31805,0.13393,0.13757,0.05515,2.90356,2.94688,3.02263,0.0006857,0.0006857,0.0006857
59,370.87,1.03369,0.5467,1.1466,0.29706,0.15899,0.1571,0.05205,2.95792,2.79428,3.04505,0.0006758,0.0006758,0.0006758
60,376.98,1.16397,0.59796,1.23656,0.14436,0.16925,0.12643,0.05554,2.85491,2.61977,2.94503,0.0006659,0.0006659,0.0006659
61,383.306,1.08898,0.55665,1.17415,0.121,0.1891,0.12546,0.04834,2.89582,2.62844,3.08238,0.000656,0.000656,0.000656
62,389.351,1.00697,0.53043,1.13215,0.2842,0.15753,0.16469,0.05703,2.80268,2.52921,2.90935,0.0006461,0.0006461,0.0006461
63,395.509,0.98469,0.52775,1.12748,0.31895,0.14195,0.15481,0.0507,2.90961,2.6334,3.01467,0.0006362,0.0006362,0.0006362
64,401.7,0.93327,0.50747,1.10715,0.27233,0.15665,0.17312,0.0591,3.00631,2.68787,3.29861,0.0006263,0.0006263,0.0006263
65,407.809,0.92173,0.51253,1.10326,0.1776,0.23963,0.15344,0.05533,3.01617,2.71007,3.3484,0.0006164,0.0006164,0.0006164
66,413.994,0.96355,0.52375,1.13727,0.15342,0.17764,0.10572,0.03905,3.10361,2.89532,3.51737,0.0006065,0.0006065,0.0006065
67,420.099,0.9351,0.49463,1.09639,0.20513,0.16294,0.14458,0.06615,2.86073,2.75472,3.35924,0.0005966,0.0005966,0.0005966
68,426.372,0.97164,0.52482,1.1343,0.27657,0.1743,0.16302,0.0761,2.8747,2.59386,3.18437,0.0005867,0.0005867,0.0005867
69,432.481,0.96902,0.52404,1.13221,0.20828,0.17275,0.14357,0.06382,2.96783,2.76337,3.23683,0.0005768,0.0005768,0.0005768
70,439.28,0.94374,0.52595,1.11871,0.24992,0.20943,0.17001,0.06421,2.8833,2.72496,3.13001,0.0005669,0.0005669,0.0005669
71,445.574,0.9139,0.48783,1.0738,0.19404,0.24466,0.18154,0.08211,2.79481,2.56238,2.98765,0.000557,0.000557,0.000557
72,451.862,0.91859,0.49163,1.1056,0.33086,0.18832,0.16859,0.07582,2.82631,2.64481,3.06008,0.0005471,0.0005471,0.0005471
73,458.056,0.91876,0.49172,1.08128,0.23843,0.1981,0.1381,0.06019,2.97306,2.62762,3.23411,0.0005372,0.0005372,0.0005372
74,464.234,0.90032,0.48369,1.09383,0.34546,0.14302,0.15363,0.07228,2.90246,2.83538,3.10696,0.0005273,0.0005273,0.0005273
75,470.463,0.88485,0.47,1.08013,0.2358,0.16287,0.15436,0.06481,2.98991,2.85437,3.24189,0.0005174,0.0005174,0.0005174
76,476.727,0.91156,0.47613,1.0744,0.23027,0.19839,0.16368,0.07285,2.86314,2.77398,3.04503,0.0005075,0.0005075,0.0005075
77,483.681,0.86109,0.46325,1.07,0.2425,0.17584,0.1614,0.07587,2.84499,2.71888,3.0299,0.0004976,0.0004976,0.0004976
